pitch,interval,label,rolling_avg_pitch,rolling_std_pitch,rolling_avg_interval,rolling_std_interval
56,-17,1,65.2,9.418067742376868,0.4,17.854971296532515
71,15,1,65.4,9.555103348472988,0.2,17.640861656959956
75,4,1,65.8,9.984988733093278,0.4,17.686152775547313
58,-17,1,66.6,8.90505474435726,0.8,17.15225932639779
73,15,1,66.6,8.90505474435726,0.0,16.15549442140351
78,5,1,71.0,7.713624310270757,4.4,13.069047402163628
59,-19,1,68.6,9.396807968666801,-2.4,14.892951352905168
77,18,1,69.0,9.772410142846029,0.4,17.48713813063761
75,-2,1,72.4,7.7330459716724915,3.4,14.842506526863982
61,-14,1,70.0,9.219544457292887,-2.4,14.84250652686398
73,12,1,69.0,8.366600265340752,-1.0,15.999999999999996
71,-2,1,71.4,6.2289646009589825,2.4,12.68069398731788
49,-22,1,65.8,10.825894882179478,-5.6,12.992305415129366
70,21,1,64.8,9.959919678390975,-1.0,17.776388834631174
61,-9,1,64.8,9.959919678390975,0.0,16.985287751463023
68,7,1,63.8,9.148770409186127,-1.0,16.232683080747922
54,-14,1,60.4,8.961026726887917,-3.4,17.27136358253163
70,16,1,64.6,6.985699678629175,4.2,15.287249589118375
73,3,1,65.2,7.661592523751168,0.6,12.136721138759015
51,-22,1,63.2,9.984988733093276,-2.0,15.604486534327231
72,21,1,64.0,10.606601717798199,0.8,18.593009439033796
75,3,1,68.2,9.782637681116476,4.2,16.664333169977127
53,-22,1,64.8,11.755849607748468,-3.4,18.501351301999534
73,20,1,64.8,11.755849607748468,0.0,21.319005605327842
77,4,1,70.0,9.695359714832662,5.2,17.42699056062176
48,-29,1,65.2,13.608820668963194,-4.8,20.2163300329214
75,27,1,65.2,13.608820668963194,0.0,24.849547279578353
48,-27,1,64.2,14.855975228843098,-1.0,26.028830169640738
75,27,1,64.6,15.175638372075152,0.4,27.5826032128949
78,3,1,64.8,15.385057685949695,0.2,27.55358415887124
49,-29,1,65.0,15.116216457830964,0.2,27.55358415887124
