note_minus_2,note_minus_1,current_note,avg_interval
16,23,27,5.5
23,27,28,2.5
27,28,40,6.5
28,40,37,4.5
40,37,34,-3.0
37,34,31,-3.0
34,31,28,-3.0
31,28,25,-3.0
28,25,22,-3.0
25,22,18,-3.5
22,18,14,-4.0
18,14,18,0.0
14,18,23,4.5
18,23,23,2.5
23,23,26,1.5
23,26,13,-5.0
26,13,14,-6.0
13,14,11,-1.0
14,11,18,2.0
11,18,17,3.0
18,17,18,0.0
17,18,14,-1.5
18,14,23,2.5
14,23,31,8.5
23,31,30,3.5
31,30,29,-1.0
30,29,29,-0.5
29,29,25,-2.0
29,25,26,-1.5
25,26,23,-1.0
26,23,26,0.0
23,26,25,1.0
26,25,26,0.0
25,26,23,-1.0
26,23,26,0.0
23,26,18,-2.5
26,18,25,-0.5
18,25,29,5.5
25,29,30,2.5
29,30,30,0.5
30,30,37,3.5
30,37,41,5.5
37,41,42,2.5
41,42,39,-1.0
42,39,36,-3.0
39,36,33,-3.0
36,33,30,-3.0
33,30,27,-3.0
30,27,24,-3.0
27,24,21,-3.0
24,21,18,-3.0
21,18,15,-3.0
18,15,13,-2.5
15,13,13,-1.0
13,13,20,3.5
13,20,23,5.0
20,23,22,1.0
23,22,25,1.0
22,25,30,4.0
25,30,34,4.5
30,34,37,3.5
34,37,35,0.5
37,35,11,-13.0
35,11,18,-8.5
11,18,21,5.0
18,21,20,1.0
21,20,23,1.0
20,23,28,4.0
23,28,32,4.5
28,32,35,3.5
32,35,33,0.5
35,33,9,-13.0
33,9,16,-8.5
9,16,20,5.5
16,20,19,1.5
20,19,22,1.0
19,22,27,4.0
22,27,31,4.5
27,31,33,3.0
31,33,32,0.5
33,32,8,-12.5
32,8,15,-8.5
8,15,18,5.0
15,18,17,1.0
18,17,23,2.5
17,23,25,4.0
23,25,29,3.0
25,29,32,3.5
29,32,30,0.5
32,30,18,-7.0
30,18,23,-3.5
18,23,28,5.0
23,28,26,1.5
28,26,21,-3.5
26,21,20,-3.0
21,20,25,2.0
20,25,32,6.0
25,32,30,2.5
32,30,18,-7.0
30,18,23,-3.5
18,23,28,5.0
23,28,26,1.5
28,26,21,-3.5
26,21,20,-3.0
21,20,25,2.0
20,25,23,1.5
25,23,11,-7.0
23,11,16,-3.5
11,16,22,5.5
16,22,23,3.5
22,23,11,-5.5
23,11,16,-3.5
11,16,22,5.5
16,22,23,3.5
22,23,11,-5.5
23,11,16,-3.5
11,16,22,5.5
16,22,23,3.5
22,23,11,-5.5
23,11,16,-3.5
11,16,22,5.5
16,22,23,3.5
22,23,11,-5.5
23,11,16,-3.5
11,16,22,5.5
16,22,18,1.0
22,18,17,-2.5
18,17,18,0.0
17,18,20,1.5
18,20,21,1.5
20,21,20,0.0
21,20,18,-1.5
20,18,17,-1.5
18,17,18,0.0
17,18,20,1.5
18,20,21,1.5
20,21,20,0.0
21,20,24,1.5
20,24,25,2.5
24,25,18,-3.0
25,18,17,-4.0
18,17,18,0.0
17,18,20,1.5
18,20,21,1.5
20,21,20,0.0
21,20,18,-1.5
20,18,17,-1.5
18,17,18,0.0
17,18,20,1.5
18,20,21,1.5
20,21,20,0.0
21,20,24,1.5
20,24,25,2.5
24,25,18,-3.0
25,18,17,-4.0
18,17,18,0.0
17,18,20,1.5
18,20,21,1.5
20,21,20,0.0
21,20,18,-1.5
20,18,17,-1.5
18,17,18,0.0
17,18,19,1.0
18,19,21,1.5
19,21,18,-0.5
21,18,24,1.5
18,24,23,2.5
24,23,26,1.0
23,26,21,-1.0
26,21,19,-3.5
21,19,18,-1.5
19,18,19,0.0
18,19,21,1.5
19,21,19,0.0
21,19,20,-0.5
19,20,18,-0.5
20,18,20,0.0
18,20,21,1.5
20,21,23,1.5
21,23,20,-0.5
23,20,25,1.0
20,25,28,4.0
25,28,23,-1.0
28,23,21,-3.5
23,21,20,-1.5
21,20,21,0.0
20,21,23,1.5
21,23,21,0.0
23,21,22,-0.5
21,22,20,-0.5
22,20,22,0.0
20,22,23,1.5
22,23,25,1.5
23,25,22,-0.5
25,22,26,0.5
22,26,25,1.5
26,25,25,-0.5
25,25,23,-1.0
25,23,22,-1.5
23,22,23,0.0
22,23,25,1.5
23,25,23,0.0
25,23,23,-1.0
23,23,21,-1.0
23,21,20,-1.5
21,20,21,0.0
20,21,23,1.5
21,23,21,0.0
23,21,24,0.5
21,24,23,1.0
24,23,21,-1.5
23,21,20,-1.5
21,20,19,-1.0
20,19,20,0.0
19,20,21,1.0
